time [s],id,pos_x,pos_y,angle [deg],speed [m/s]
0.0,0,11826.67,5512.85,217.82,0.0
0.0,1,10808.52,5356.82,337.98,0.0
0.0,2,12123.37,4970.66,7.79,0.0
0.0,3,11416.24,5128.48,140.35,0.0
0.0,4,10751.27,5018.96,247.71,0.0
0.0,5,12098.85,5429.06,104.14,0.0
0.0,6,11011.47,5932.04,169.31,0.0
0.0,7,11980.3,5400.53,44.48,0.0
0.0,8,12163.05,5385.96,281.48,0.0
0.0,9,10798.59,5732.55,69.01,0.0
1.0,0,11825.13,5510.81,218.03,2.55
1.0,1,10807.58,5359.14,337.98,2.51
1.0,2,12123.67,4972.84,7.79,2.2
1.0,3,11417.38,5127.1,140.35,1.79
1.0,4,10750.01,5018.44,247.71,1.36
1.0,5,12101.14,5428.49,104.14,2.36
1.0,6,11011.82,5930.45,167.78,1.63
1.0,7,11981.61,5401.7,47.72,1.75
1.0,8,12160.52,5386.48,281.48,2.58
1.0,9,10800.47,5733.27,69.01,2.01
2.0,0,11822.55,5507.41,217.12,4.27
2.0,1,10805.83,5363.46,337.98,4.66
2.0,2,12124.32,4977.59,7.79,4.79
2.0,3,11418.95,5123.76,151.25,3.76
2.0,4,10747.02,5017.67,252.61,3.09
2.0,5,12105.0,5427.51,104.14,3.98
2.0,6,11012.68,5926.51,167.63,4.04
2.0,7,11984.04,5404.96,38.7,4.16
2.0,8,12155.51,5387.5,281.48,5.11
2.0,9,10804.38,5734.77,69.01,4.19
3.0,0,11818.46,5502.0,217.12,6.79
3.0,1,10803.57,5369.06,337.98,6.04
3.0,2,12125.23,4984.26,7.79,6.73
3.0,3,11417.0,5119.34,204.31,5.08
3.0,4,10741.78,5016.54,257.8,5.36
3.0,5,12110.54,5426.12,104.14,5.72
3.0,6,11015.53,5921.24,149.84,6.06
3.0,7,11984.01,5410.46,356.06,5.7
3.0,8,12153.17,5392.39,3.02,7.62
3.0,9,10810.44,5737.09,69.01,6.49
4.0,0,11813.57,5495.54,217.12,8.09
4.0,1,10800.41,5376.86,337.98,8.42
4.0,2,12126.35,4992.44,7.79,8.25
4.0,3,11411.7,5114.85,230.19,6.96
4.0,4,10734.55,5014.62,254.13,7.49
4.0,5,12115.33,5424.91,104.14,4.95
4.0,6,11021.68,5916.68,125.02,7.66
4.0,7,11981.35,5415.92,333.07,6.09
4.0,8,12155.25,5402.38,11.75,10.2
4.0,9,10818.15,5740.05,69.01,8.25
5.0,0,11808.02,5487.93,216.12,9.43
5.0,1,10796.54,5386.04,337.02,9.96
5.0,2,12127.75,5002.68,7.79,10.34
5.0,3,11404.53,5108.87,230.19,9.33
5.0,4,10725.91,5011.33,247.71,9.25
5.0,5,12119.97,5422.84,114.4,5.16
5.0,6,11029.11,5911.51,124.86,9.06
5.0,7,11978.16,5421.59,330.6,6.51
5.0,8,12157.78,5414.56,11.75,12.44
5.0,9,10828.27,5743.93,69.01,10.84
6.0,0,11801.31,5478.74,216.12,11.39
6.0,1,10791.95,5396.87,337.02,11.76
6.0,2,12130.1,5008.25,26.55,6.21
6.0,3,11395.91,5101.68,230.19,11.22
6.0,4,10715.47,5006.76,246.32,11.39
6.0,5,12121.16,5418.52,162.83,4.72
6.0,6,11038.22,5905.16,124.86,11.11
6.0,7,11977.17,5423.34,330.6,2.01
6.0,8,12159.25,5425.65,0.69,11.96
6.0,9,10838.55,5747.87,69.01,11.01
7.0,0,11793.86,5468.24,215.22,12.87
7.0,1,10787.09,5408.32,337.02,12.43
7.0,2,12136.76,5010.01,80.37,6.99
7.0,3,11385.69,5093.17,230.19,13.3
7.0,4,10703.49,5001.42,245.78,13.12
7.0,5,12120.18,5413.84,191.58,4.78
7.0,6,11048.76,5898.0,123.18,12.75
7.0,7,11975.46,5424.33,318.28,2.07
7.0,8,12147.49,5428.45,283.38,12.09
7.0,9,10848.71,5751.77,69.01,10.88
8.0,0,11789.03,5461.4,215.22,8.37
8.0,1,10783.13,5417.67,337.02,10.16
8.0,2,12145.45,5010.53,86.59,8.71
8.0,3,11374.98,5084.24,230.19,13.94
8.0,4,10690.99,4995.8,245.78,13.7
8.0,5,12118.55,5406.91,193.25,7.12
8.0,6,11060.84,5890.32,122.42,14.31
8.0,7,11974.21,5422.25,251.21,2.85
8.0,8,12139.52,5430.34,283.38,8.19
8.0,9,10856.07,5754.6,69.01,7.89
9.0,0,11789.87,5456.07,163.57,5.9
9.0,1,10780.5,5423.85,337.02,6.72
9.0,2,12152.44,5011.32,82.28,7.05
9.0,3,11364.21,5075.26,230.19,14.03
9.0,4,10678.62,4990.25,245.9,13.56
9.0,5,12116.58,5398.57,193.25,8.57
9.0,6,11070.98,5881.72,132.28,13.33
9.0,7,11975.34,5420.09,177.43,2.46
9.0,8,12134.62,5431.51,283.38,5.04
9.0,9,10860.27,5756.21,69.01,4.5
10.0,0,11787.53,5452.24,213.14,5.18
10.0,1,10780.67,5429.42,5.54,5.92
