time [s],id,pos_x,pos_y,angle [deg],speed [m/s]
0.0,0,213.24,1.89,75.0,0.0
0.0,1,298.11,213.24,344.99,0.0
0.0,2,395.02,187.59,195.0,0.0
0.0,3,37.31,308.26,45.0,0.0
0.0,4,155.25,274.31,150.0,0.0
0.0,5,275.91,158.02,300.0,0.0
0.0,6,209.14,180.97,150.0,0.0
0.0,7,187.59,4.98,285.0,0.0
0.0,8,291.58,162.41,15.01,0.0
0.0,9,287.59,378.19,285.0,0.0
1.0,0,214.89,2.33,75.0,1.71
1.0,1,297.75,214.57,344.99,1.38
1.0,2,394.39,185.26,195.0,2.41
1.0,3,38.37,309.32,45.0,1.5
1.0,4,156.31,272.47,150.0,2.13
1.0,5,274.55,158.81,300.0,1.58
1.0,6,210.3,178.96,150.0,2.32
1.0,7,185.65,5.5,285.0,2.01
1.0,8,292.03,164.07,15.01,1.73
1.0,9,286.33,378.53,285.0,1.3
2.0,0,218.67,3.34,75.0,3.91
2.0,1,297.05,217.18,344.99,2.7
2.0,2,393.39,181.52,195.0,3.87
2.0,3,41.13,312.08,45.0,3.9
2.0,4,158.26,269.1,150.0,3.89
2.0,5,271.12,160.79,300.0,3.96
2.0,6,212.69,174.82,150.0,4.78
2.0,7,181.94,6.5,285.0,3.84
2.0,8,293.15,168.24,15.01,4.32
2.0,9,283.47,379.29,285.0,2.96
3.0,0,223.84,4.73,75.0,5.36
3.0,1,295.98,221.18,344.99,4.14
3.0,2,391.76,175.44,195.0,6.3
3.0,3,45.6,316.55,45.0,6.32
3.0,4,161.37,263.71,150.0,6.22
3.0,5,266.3,163.57,300.0,5.57
3.0,6,215.95,169.18,150.0,6.51
3.0,7,176.75,7.89,285.0,5.37
3.0,8,294.86,174.63,15.01,6.61
3.0,9,278.71,380.57,285.0,4.93
4.0,0,230.38,6.48,75.0,6.78
4.0,1,294.25,227.64,344.99,6.69
4.0,2,389.58,167.3,195.0,8.43
4.0,3,51.45,322.4,45.0,8.28
4.0,4,165.77,256.09,150.0,8.8
4.0,5,259.53,167.48,300.0,7.82
4.0,6,220.1,161.99,150.0,8.3
4.0,7,169.23,9.9,285.0,7.8
4.0,8,297.1,182.98,15.01,8.65
4.0,9,272.11,382.34,285.0,6.84
5.0,0,239.41,8.9,75.0,9.35
5.0,1,291.89,236.44,344.99,9.11
5.0,2,386.94,157.43,195.0,10.22
5.0,3,58.62,329.57,45.0,10.14
5.0,4,171.08,246.9,150.0,10.62
5.0,5,250.84,172.49,300.0,10.03
5.0,6,225.09,153.34,150.0,9.99
5.0,7,160.3,12.3,285.0,9.24
5.0,8,298.69,188.91,15.01,6.14
5.0,9,263.12,384.75,285.0,9.31
6.0,0,250.88,11.97,75.0,11.87
6.0,1,290.69,240.9,344.99,4.61
6.0,2,383.63,145.1,195.0,12.77
6.0,3,67.04,337.99,45.0,11.92
6.0,4,177.49,235.79,150.0,12.82
6.0,5,241.24,178.04,300.0,11.09
6.0,6,231.22,142.72,150.0,12.26
6.0,7,149.67,15.14,285.0,11.0
6.0,8,300.23,196.86,8.68,8.11
6.0,9,252.64,387.55,285.0,10.85
7.0,0,263.73,15.42,75.0,13.31
7.0,1,289.9,246.91,354.19,6.11
7.0,2,380.18,132.21,195.0,13.34
7.0,3,77.12,348.07,45.0,14.24
7.0,4,184.18,224.21,150.0,13.38
7.0,5,232.15,183.29,300.0,10.5
7.0,6,237.92,131.11,150.0,13.41
7.0,7,138.92,18.03,285.0,11.14
7.0,8,299.59,207.44,352.26,10.64
7.0,9,241.51,390.54,285.0,11.53
8.0,0,277.04,18.98,75.0,13.78
8.0,1,293.38,252.06,41.4,6.52
8.0,2,376.8,119.63,195.0,13.02
8.0,3,87.31,358.26,45.0,14.41
8.0,4,188.87,216.08,150.0,9.39
8.0,5,222.92,188.61,300.0,10.65
8.0,6,244.99,118.87,150.0,14.14
8.0,7,127.68,21.04,285.0,11.63
8.0,8,296.54,219.1,344.99,12.06
8.0,9,230.96,393.36,285.0,10.92
